DepthBin,Date,Time,Latitude,Longitude,Year,gm2
30,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,4.045200704
40,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,32.13185744
50,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0.150668191
60,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,10.26434378
70,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,1.922163525
80,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,5.932339467
90,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,5.965836486
100,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,1.305103675
110,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
120,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0.945276002
130,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,1.042240098
140,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
150,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
160,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
170,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0.588147677
180,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,1.04770112
190,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
200,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,1.324399771
210,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
220,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
230,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
240,1/13/2009,09:59:10,-62.62426102,-62.27108177,2009,0
10,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
20,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.31811403
30,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,1.228703195
40,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
50,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,1.412344723
60,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.692188763
70,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.707406697
80,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.211515646
90,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
100,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.640260491
110,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0.445403917
120,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,1.341287093
130,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
140,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
150,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
160,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,4.740362797
170,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
180,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
190,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
200,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
210,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
220,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
230,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
240,1/13/2009,10:05:50,-62.61186828,-62.29575113,2009,0
10,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
20,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0.069994079
30,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0.273837422
40,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
50,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,5.067072656
60,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,3.657076406
70,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,8.659700992
80,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,5.300527088
90,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,3.275154946
100,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,1.596657649
110,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
120,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,4.190486385
130,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
140,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
150,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
160,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
170,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
180,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
190,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
200,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
210,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
220,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
230,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
240,1/13/2009,10:12:30,-62.59927268,-62.31973092,2009,0
10,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
20,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.059601383
30,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.084752679
40,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.134891366
50,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.494916533
60,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,3.737727855
70,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
80,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.225478605
90,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
100,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,2.149016086
110,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.34811687
120,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0.382095482
130,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,1.583182353
140,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,2.644240596
150,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,4.072531714
160,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,1.20315934
170,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
180,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,2.375225579
190,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,2.657938882
200,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
210,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
220,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
230,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
240,1/13/2009,10:19:10,-62.58638111,-62.3425876,2009,0
10,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
20,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0.214463885
30,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,2.958480029
40,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
50,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0
60,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0.208437093
70,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,2.94167729
80,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0.25790843
90,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,1.46908852
100,1/13/2009,10:25:50,-62.57321053,-62.36510632,2009,0.432074717
